insiden,,,,,,cpar,,,,,,,inspection,,,,,
,,,,,,,,,,,,,,,,,,
tahun, bulan,lalu_lintas,lingkungan_kerja,total,,tahun,audit,major,minor,observasi,total,,tahun, bulan,mutu,k3,5R,total
2024,1,2,2,4,,2023,iso-90001,0,3,2,5,,2024,1,2,2,2,6
2024,2,2,3,5,,2023,iso-45001,0,4,1,5,,2024,2,2,3,1,6
2024,3,1,0,1,,2023,iso-17025,0,10,3,13,,2024,3,1,0,1,2
2024,4,1,2,3,,2023,sni,0,2,1,3,,2024,4,1,2,2,5
2024,5,1,2,3,,2024,iso-90001,0,6,2,8,,2024,5,1,2,1,4
2024,6,1,1,2,,2024,iso-45001,0,4,3,7,,2024,6,1,1,2,4
2024,7,3,1,4,,2024,iso-17025,0,5,1,6,,2024,7,3,1,3,7
2024,8,2,2,4,,2024,sni,0,3,4,7,,2024,8,2,2,1,5
2024,9,1,3,4,,2025,iso-90001,0,5,2,7,,2024,9,1,3,1,5
2024,10,2,1,3,,2025,iso-45001,0,2,1,3,,2024,10,2,1,1,4
2024,11,1,2,3,,2025,iso-17025,0,3,2,5,,2024,11,1,2,2,5
2024,12,1,1,2,,2025,sni,0,3,1,4,,2024,12,1,1,2,4
2025,1,2,3,5,,,,,,,,,2025,1,2,3,1,6
2025,2,2,1,3,,,,,,,,,2025,2,2,1,2,5
2025,3,4,1,5,,,,,,,,,2025,3,4,1,1,6
2025,4,1,1,2,,,,,,,,,2025,4,1,1,3,5
2025,5,2,2,4,,,,,,,,,2025,5,2,2,2,6
2025,6,0,2,2,,,,,,,,,2025,6,0,2,2,4
2025,7,0,3,3,,,,,,,,,2025,7,0,3,1,4
2025,8,1,1,2,,,,,,,,,2025,8,1,1,1,3
2025,9,2,2,4,,,,,,,,,2025,9,2,2,1,5
2025,10,1,1,2,,,,,,,,,2025,10,1,1,3,5
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
QHS_INSIDEN,,,,,,QHS_CPAR,,,,,,,QHS_INSPECTION,,,,,
1,tahun,N,,,,1,tahun,N,,,,,1,tahun,N,,,
2,bulan,N,,,,2,audit,N,,,,,2,bulan,N,,,
,lalu_lintas,N,,,,,major,N,,,,,,mutu,N,,,
,lingkungan_kerja,N,,,,,minor,N,,,,,,k3,N,,,
,,,,,,,observasi,N,,,,,,5R,N,,,
